repo_name,depth,timelag,complexity,nloc
https://github.com/dreamerslab/node.inflection,4,746,3.1,614.0
https://github.com/firstandthird/load-grunt-config,8,48,4.3,174.0
https://github.com/dcodeIO/protobuf.js,10,132,3.3,17921.0
https://github.com/Level/levelup,10,52,2.4,313.0
https://github.com/nfroidure/gulp-streamify,5,1337,1.7,69.0
https://github.com/react-dnd/react-dnd,10,1,5.0,424.0
https://github.com/expressjs/errorhandler,6,120,4.0,97.0
https://github.com/Microsoft/tslint-microsoft-contrib,8,139,2.4,543.0
https://github.com/caitp/karma-coveralls,11,213,2.9,126.0
https://github.com/component/escape-html,9,104,4.0,76.0
https://github.com/pillarjs/send,6,117,3.8,586.0
https://github.com/remarkjs/remark,10,118,7.6,4784.0
https://github.com/kentcdodds/react-testing-library,10,2,1.3,1211.0
https://github.com/svg/svgo,5,80,4.5,7960.0
https://github.com/pksunkara/inflect,1,1024,2.0,370.0
https://github.com/reactjs/react-docgen,9,8,3.7,11159.0
https://github.com/evilstreak/markdown-js,4,73,4.0,1441.0
https://github.com/mlucool/gulp-jsdoc3,12,59,1.8,151.0
https://github.com/redux-utilities/redux-actions,8,5,3.3,436.0
https://github.com/jshttp/http-errors,6,93,4.1,177.0
https://github.com/chartjs/Chart.js,8,14,3.3,10011.0
https://github.com/selaux/eslint-plugin-filenames,5,657,2.9,202.0
https://github.com/kristerkari/stylelint-scss,10,7,5.7,19562.0
https://github.com/karma-runner/karma-coverage,10,28,2.2,494.0
https://github.com/klughammer/node-randomstring,3,789,3.6,99.0
https://github.com/bgrins/TinyColor,7,54,5.3,7687.0
https://github.com/webpack-contrib/script-loader,9,91,3.2,38.0
https://github.com/webpack-contrib/karma-webpack,10,23,3.6,409.0
https://github.com/node-modules/detect-port,10,169,4.7,98.0
https://github.com/gulpjs/gulp-cli,8,7,2.4,1249.0
https://github.com/isaacs/sax-js,9,609,4.7,1512.0
https://github.com/ape-repo/ape-reporting,6,5,3.3,118.0
https://github.com/sindresorhus/ora,9,271,1.0,215.0
https://github.com/styled-components/babel-plugin-styled-components,10,114,2.5,585.0
https://github.com/gruntjs/grunt-contrib-uglify,10,276,3.0,703.0
https://github.com/storybooks/storybook-package,8,51,3.7,1057.0
https://github.com/kelektiv/node-uuid,11,11,3.7,432.0
https://github.com/59naga/babel-plugin-add-module-exports,9,47,4.0,137.0
https://github.com/sindresorhus/gulp-mocha,9,232,2.2,86.0
https://github.com/gulp-sourcemaps/gulp-sourcemaps,10,16,2.2,475.0
https://github.com/cheeriojs/cheerio,5,12,2.6,1820.0
https://github.com/prettier/eslint-config-prettier,10,5,5.2,490.0
https://github.com/kulshekhar/ts-jest,10,9,2.9,501.0
https://github.com/reduxjs/redux,11,5,3.2,5991.0
https://github.com/babel/gulp-babel,10,11,3.8,73.0
https://github.com/mysticatea/npm-run-all,9,27,5.4,999.0
https://github.com/visionmedia/supertest,9,23,1.6,54.0
https://github.com/kriskowal/q,9,23,1.4,6614.0
https://github.com/contra/gulp-concat,10,337,7.0,69.0
https://github.com/prettier/eslint-plugin-prettier,7,58,1.0,190.0
https://github.com/yeoman/generator,9,25,3.9,1072.0
https://github.com/caolan/forms,6,517,2.6,1616.0
https://github.com/vuejs/vue-style-loader,12,29,3.6,375.0
https://github.com/JedWatson/classnames,7,352,2.5,279.0
https://github.com/mgechev/codelyzer,9,1,3.1,6355.0
https://github.com/observing/pre-commit,4,306,3.2,265.0
https://github.com/domenic/chai-as-promised,8,235,2.6,270.0
https://github.com/codecov/codecov-node,10,2,3.1,866.0
https://github.com/adametry/gulp-eslint,10,38,2.4,515.0
https://github.com/jshttp/methods,6,118,1.3,38.0
https://github.com/babel/babelify,8,86,4.0,125.0
https://github.com/karma-runner/karma-phantomjs-launcher,11,159,1.9,185.0
https://github.com/gruntjs/grunt-cli,9,448,1.4,68.0
https://github.com/webpack-contrib/copy-webpack-plugin,9,6,12.8,535.0
https://github.com/OverZealous/run-sequence,12,180,2.9,115.0
https://github.com/webpack-contrib/less-loader,9,2,2.8,242.0
https://github.com/TypeStrong/ts-loader,8,28,1.2,457.0
https://github.com/hapijs/hapi,6,126,4.9,4164.0
https://github.com/motdotla/dotenv,10,207,3.1,524.0
https://github.com/sindresorhus/jshint-stylish,10,302,3.8,62.0
https://github.com/LearnBoost/expect.js,7,1646,6.1,7213.0
https://github.com/remy/nodemon,8,69,3.7,2092.0
https://github.com/webpack/json-loader,11,20,3.0,8.0
https://github.com/floatdrop/gulp-plumber,10,608,2.7,87.0
https://github.com/gruntjs/grunt-contrib-nodeunit,8,327,2.2,281.0
https://github.com/expressjs/serve-static,6,117,3.1,113.0
https://github.com/mikaelbr/gulp-notify,12,42,2.2,441.0
https://github.com/shama/stylus-loader,9,36,2.5,761.0
https://github.com/webpack-contrib/istanbul-instrumenter-loader,9,235,3.0,21.0
https://github.com/chriso/validator.js,9,3,4.7,5676.0
https://github.com/karma-runner/grunt-karma,9,28,2.8,265.0
https://github.com/jsdoc2md/jsdoc-to-markdown,8,246,1.1,387.0
https://github.com/postcss/gulp-postcss,8,15,2.4,115.0
https://github.com/nikku/karma-browserify,10,2,1.8,333.0
https://github.com/power-assert-js/power-assert,10,133,3.9,13838.0
